ja,en
著作権者も、当該フォントおよび関連文書の管理やメンテナンスを担当する者も団体も、契約、不法行為、または他の訴えであろうと、当該フォントおよび関連文書の使用もしくは使用できないこと、または、その他の扱いによって発生した請求、通常損害、特別損害、間接損害、付随的損害、または、派生的損害のいずれに対しても一切責任を負わないものとする。,"Neither the copyright holder nor any person or entity responsible for the management or maintenance of such fonts and related documentation, whether in contract, tort, or any other action, shall be liable for any claim, ordinary, special, indirect, incidental, or consequential damages arising out of the use or inability to use such fonts and related documentation, or any other treatment of such fonts and related documentation. In no event shall it be liable for any damages or consequential damages."
著作権者も、当該ライセンスで許可されているとおりに当該ソフトウェアを改変、または、再頒布したその他の団体も、当該ライセンスに基づいて当該ソフトウェアを受け取る全ての者に対して、仮にそのような損害が発生する可能性を知らされていたとしても、適用される法律または書面での同意によって命じられない限り、当該ソフトウェアの利用によって発生した通常損害、特別損害、付随的損害、または、派生的損害のいずれに対しても(データの消失や不正確な処理、当該ライセンスに基づいて当該ソフトウェアを受け取る全ての者か第三者が被った損失、あるいは、当該ソフトウェアが他のソフトウェアと一緒に動作しないという不具合や損害や損失を含めるが、それに限定されない損害や損失を含め)一切責任を負わないものとする。,"Neither the copyright holder nor any other entity that modifies or redistributes the software as permitted by the license, even if advised of the possibility of such damage to all persons who receive the software under the license, is liable to pay any damages under applicable law or in writing. For any ordinary, special, incidental, or consequential damages arising out of the use of such software (such as loss or inaccurate processing of data, loss incurred by any person or third party who receives such software under such license, or You will not be liable for any damages or losses (including, but not limited to, damages or losses caused by the failure of such software to work with other software)."
著作権者も、当該ライセンスで許可されているとおりに当該ソフトウェアを改変および再頒布したその他の団体も、当該ライセンスに基づいて当該ソフトウェアを受け取る全ての者に対して、仮にそのような損害が発生する可能性を知らされていたとしても、またはその他の団体から請求を受ける可能性を知らされていたとしても、適用される法律によって命じられない限り、当該ソフトウェアの利用によって発生した利益の損失、金銭の損失、その他の特別損害、付随的損害、または、派生的損害のいずれに対しても(データの消失や不正確な処理、第三者が被った損失、あるいは、当該ソフトウェアが他のソフトウェアと一緒に動作しないという不具合や損害や損失を含めるが、それに限定されない損害や損失を含め)一切責任を負わないものとする。,"Neither the copyright holder nor any other entity that has modified and redistributed the software as permitted by the license, even if advised of the possibility of such damage to any person who receives the software under the license, or if any other entity has filed a claim against them. for any loss of profit, loss of money, or other special, incidental, or consequential damages (such as loss of data or inaccurate processing, loss suffered by a third party, loss of data or inaccurate processing, etc.) resulting from the use of the software, even if advised of the possibility of receiving such damages, unless otherwise ordered by applicable law. In no event shall you be liable for any damages or losses (including, but not limited to, damages or losses caused by the failure of the Software to work with any other software)."
著作権者も、当該ライセンスで許可されているとおりに当該ライブラリを改変、または、再頒布したその他の団体も、当該ライセンスに基づいて当該ライブラリを受け取る全ての者に対して、仮にそのような損害が発生する可能性を知らされていたとしても、適用される法律または書面での同意によって命じられない限り、当該ライブラリの利用によって発生した通常損害、特別損害、付随的損害、または、派生的損害のいずれに対しても(データの消失や不正確な処理、当該ライセンスに基づいて当該ライブラリを受け取る全ての者か第三者が被った損失、あるいは、当該ライブラリが他のソフトウェアと一緒に動作しないという不具合や損害や損失を含めるが、それに限定されない損害や損失を含め)一切責任を負わないものとする。,"Neither the copyright holder nor any other entity that modifies or redistributes such library as permitted by such license, even if advised of the possibility of such damage to all persons who receive such library under such license, shall be liable for any damages under applicable law or in writing. Unless otherwise ordered by consent, for any ordinary, special, incidental or consequential damages arising out of the use of such library (including, but not limited to, loss or inaccurate processing of data, loss incurred by any person or third party who receives such library under such license, or such You will not be liable for any damages or losses (including, but not limited to, damages or losses caused by the failure of the Library to work with other software)."
著作権者も、本ライセンスで許可されているとおりに当該ソフトウェアを改変、または、再頒布したその他の団体も、本ライセンスに基づいて当該ソフトウェアを受け取る全ての者に対して、仮にそのような損害が発生する可能性を知らされていたとしても、適用される法律または書面での同意によって命じられない限り、当該ソフトウェアの利用によって発生した直接損害、間接損害、通常損害、特別損害、付随的損害、または、派生的損害のいずれに対しても(データの消失や不正確な処理、本ライセンスに基づいて当該ソフトウェアを受け取る全ての者か第三者が被った損失、あるいは、当該ソフトウェアが他のソフトウェアと一緒に動作しないという不具合や損害や損失を含めるが、それに限定されない損害や損失を含め)一切責任を負わないものとする。,"Neither the copyright holder nor any other entity that modifies or redistributes the software as permitted by this license, even if advised of the possibility of such damage to any person who receives the software under this license, shall be liable to you under applicable law or in writing for such damage. Unless otherwise ordered by consent, in no event shall any direct, indirect, ordinary, special, incidental or consequential damages (such as loss of data or inaccurate processing, or any other damages incurred by any person or third party who receives such software under this license) arise from the use of such software. You will not be liable for any loss or damage or loss (including, but not limited to, any defect, damage or loss that prevents such software from working with any other software)."
著作権者も、本ライセンスで許可されているとおりに当該ファイルを改変、または、再頒布したその他の団体も、本ライセンスに基づいて当該ファイルを受け取る全ての者に対して、仮にそのような損害が発生する可能性を知らされていたとしても、適用される法律または書面での同意によって命じられない限り、当該ファイルの利用によって発生した通常損害、特別損害、付随的損害、または、派生的損害のいずれに対しても(データの消失や不正確な処理、本ライセンスに基づいて当該ファイルを受け取る全ての者か第三者が被った損失、あるいは、当該ファイルが他のソフトウェアと一緒に動作しないという不具合や損害や損失を含めるが、それに限定されない損害や損失を含め)一切責任を負わないものとする。,"Neither the copyright holder nor any other entity that modifies or redistributes the file as permitted by this license, even if advised of the possibility of such damage to any person who receives the file under this license, agrees with the applicable law or written consent For any ordinary, special, incidental, or consequential damages arising out of the use of such files (such as loss or inaccurate processing of data, loss suffered by any person or third party who receives such files under this license, or if such files are used in conjunction with any other You will not be liable for any damage or loss (including, but not limited to, any damage or loss of failure to work with the Software)."
著作権者も、本ライセンスで許可されているとおりに当該フォントを複製、改変、または、再頒布したその他の団体も、本ライセンスに基づいて当該フォントを受け取る全ての者に対して、仮にそのような損害が発生する可能性を知らされていたとしても、適用される法律または書面での同意によって命じられない限り、当該フォントの利用によって発生した直接損害、間接障害、派生的損害、付随的損害、特別損害、懲罰的損害のいずれに対しても(代替品または代用サービスの調達、使用の喪失、データの喪失、利益の喪失に対する補償、または、業務の中断に対する補償も含めるが、それに限定されない補償を含め)一切責任を負わないものとする。,"Neither the copyright owner nor any other entity that reproduces, modifies, or redistributes such fonts as permitted by this license, even if advised of the possibility of such damage to all persons who receive such fonts under this license, shall be liable to any applicable law or written Unless otherwise ordered by consent, in the event of direct, indirect, consequential, incidental, special or punitive damages arising out of the use of such fonts (procurement of substitute goods or services, loss of use, loss of data, compensation for loss of profits, or compensation for business interruption) including, but not limited to, indemnification) shall not be liable for any"
著作権者もその従業員も学生も、当該ソフトウェアによる著作権、トレード・シークレット、特許の侵害に関する責任を一切負わないものとする。また、著作権者もその従業員も学生も、収入の損失、利益の損失その他の特別損害、間接損害、派生的損害のいずれに対しても、一切責任を負わないものとする。,"Neither the copyright holder nor any of its employees or students shall be liable for any infringement of copyright, trade secret or patent by such software. In no event shall the copyright holder, its employees or students be liable for any loss of income, lost profits or other special, indirect or consequential damages."
著作権者もコントリビュータも、ライセンシや第三者に対して、損害発生の原因如何を問わず、かつ、責任の根拠が契約であるか保証であるか(過失を含む)不法行為であるか製造物責任その他であるかを問わず、仮にそのような損害が発生する可能性を知らされていたとしても、当該ソフトウェアの使用によって発生した直接損害、間接損害、特別損害、付随的損害、派生的損害、または、懲罰的損害のいずれに対しても、代用品または代用サービスの調達、使用の喪失、データの喪失、利益の喪失に対する補償、または、業務の中断に対する補償を含めるが、それに限定されない補償を含め、一切責任を負わないものとする。,"Neither the copyright owner nor any contributor shall be liable to the licensee or any third party for any damages, regardless of the cause of such damages, and regardless of whether the basis of liability is contract, warranty (including negligence), tort or product liability or otherwise, even if they have been advised of the possibility of such damages. for any direct, indirect, special, incidental, consequential, or punitive damages resulting from the use of the software, including, but not limited to, the procurement of substitute or substitute services, compensation for loss of use, loss of data, loss of profits, or for business interruption No liability shall be assumed, including compensation that is not made."
"著作権者もコントリビュータも、事由の如何を問わず、損害発生の原因如何を問わず、かつ、責任の根拠が契約であるか厳格責任であるか(過失を含む)不法行為であるかを問わず、仮にそのような損害が発生する可能性を知らされていたとしても、当該ソフトウェアの使用によって発生した、1,000米ドルを超える直接損害に対して、または、間接損害、付随的損害、特別損害、懲罰的損害、派生的損害のいずれに対しても(代替品または代用サービスの調達、使用の喪失、データの喪失、利益の喪失に対する補償、または、業務の中断に対する補償も含めるが、それに限定されない補償を含め)一切責任を負わないものとする。","Neither the copyright owner nor any contributor, for any cause whatsoever, shall be liable for damages, regardless of how caused, and regardless of whether the liability is based on contract, strict liability, or tort (including negligence), even if they have been advised of the possibility of such damages arising from the use of the software, and even if they have been advised of the possibility of such damages. or for direct damages in excess of $1,000.00, or for any indirect, incidental, special, exemplary, or consequential damages (including, but not limited to, compensation for procurement of substitute goods or substitute services, loss of use, loss of data, loss of profits, or business interruption). No liability (including, but not limited to, compensation) shall be assumed."
著作権者もコントリビュータも、事由の如何を問わず、損害発生の原因如何を問わず、かつ、責任の根拠が契約であるか厳格責任であるか(過失を含む)不法行為であるかを問わず、仮にそのような損害が発生する可能性を知らされていたとしても、当該ソフトウェアの使用によって発生した直接損害、間接損害、付随的損害、特別損害、懲罰的損害、または、派生的損害のいずれに対しても(代替品または代用サービスの調達、使用の喪失、データの喪失、利益の喪失に対する補償、または、業務の中断に対する補償も含めるが、それに限定されない補償を含め)一切責任を負わないものとする。,"Neither the copyright owner nor any contributor, for any cause whatsoever, shall be liable for damages, regardless of how caused, and regardless of whether the liability is based on contract, strict liability, or tort (including negligence), even if they have been advised of the possibility of such damages arising from the use of the software, and even if they have been advised of the possibility of such damages. for any direct, indirect, incidental, special, punitive, or consequential damages (including, but not limited to, compensation for procurement of substitute goods or services, loss of use, loss of data, loss of profits, or business interruption). It shall not be defeated."
著作権者もコントリビュータも、事由の如何を問わず、損害発生の原因如何を問わず、かつ、責任の根拠が契約であるか厳格責任であるか(過失を含む)不法行為であるかを問わず、仮にそのような損害が発生する可能性を知らされていたとしても、当該ソフトウェアや関連文書の使用によって発生した直接損害、間接損害、付随的損害、特別損害、懲罰的損害、または、派生的損害のいずれに対しても(代替品または代用サービスの調達、使用の喪失、データの喪失、利益の喪失に対する補償、または、業務の中断に対する補償も含めるが、それに限定されない補償を含め)一切責任を負わないものとする。,"Neither the copyright owner nor any contributor, for any cause whatsoever, shall be liable for any damages whatsoever, regardless of how caused, and regardless of whether the liability is based on contract, strict liability or tort (including negligence), even if advised of the possibility of such damages, for any use of the software or related documentation, even if the copyright owner or contributor has been advised of the possibility of such damages. for any direct, indirect, incidental, special, punitive or consequential damages (including, but not limited to, compensation for procurement of substitute goods or substitute services, loss of use, loss of data, loss of profits, or business interruption) caused by ) No liability shall be assumed."
"著作権者もコントリビュータも、仮にそのような損害が発生する可能性を知らされていたとしても、当該ソフトウェアの使用によって発生したユーザが受ける損害のいずれに対しても一切責任を負わないものとする。
","neither the copyright holder nor the contributor shall be liable for any damages incurred by the user as a result of the use of such software, even if they have been advised of the possibility of such damages."
著作権者もコントリビュータも、商業的な使用可能性や適合性に関する暗黙の保証を含めて、当該ソフトウェアに関するいかなる保証もしない。,"neither the copyright holder nor the contributor makes any warranty with respect to such software, including any implied warranty of commercial use or fitness."
著作権者もコントリビュータも、契約、過失または他の不法行為上の訴訟かを問わず、当該ソフトウェアの使用や性能によって発生した特別損害、間接損害、派生的損害、および、使用の喪失、データの喪失、利益の喪失によって発生した損害のいずれに対しても一切責任を負わないものとする。,"in no event shall either the copyright owner or the contributor be liable for any special, indirect or consequential damages, whether in contract, negligence or other tort action, arising out of the use or performance of such software, or any damages resulting from loss of use, loss of data or loss of profits Do."
著作権者もコントリビュータも、当該ソフトウェアの使用もしくは使用できないことによって発生した直接損害、間接損害、付随的損害、特別損害、または、派生的損害のいずれに対しても一切責任を負わないものとする。,"Neither the copyright holder nor any contributor shall be liable for any direct, indirect, incidental, special or consequential damages resulting from the use or inability to use such software."
著作権者もライセンサも、仮に著作権者がそのような損害が発生する可能性を知らされていたとしても、特別損害、付随的損害、間接損害、派生的損害のいずれに対しても、この情報や派生物の使用、改変、頒布に関する使用の喪失、データの喪失、利益の喪失によって発生した損害を含むがそれに限定されない損害を含め、一切責任を負わないものとする。,"Neither the copyright owner nor the licensor shall be liable for any special, incidental, indirect, or consequential damages for any special, incidental, indirect, or consequential damages, even if the copyright owner has been advised of the possibility of such damages, including damages arising from loss of use, loss of data, or loss of profits in connection with the use, modification, or distribution of this information or derivative works. In no event shall the Company be liable for any damages, including, but not limited to, damages caused by"
著作権者もライセンサも、当該ソフトウェアやその派生物の使用、改変、頒布によってライセンシが被る損害のいずれに対しても一切責任を負わないものとする。著作権者もライセンサも、事由の如何を問わず、損害発生の原因如何を問わず、不法行為であるかを問わず、仮にそのような損害が発生する可能性を知らされていたとしても、当該ソフトウェアの使用もしくは不稼動によって発生した収益の喪失、利益の喪失、データの喪失、直接損害、間接損害、特別損害、付随的損害、懲罰的損害、または、派生的損害のいずれに対しても一切責任を負わないものとする。,"Neither the copyright holder nor Licensor shall be liable for any damages suffered by Licensee as a result of the use, modification or distribution of such software or its derivative works. neither the copyright owner nor the licensor shall be liable for any loss of revenue, loss of profits, loss of data, direct damages, or any other direct or indirect damages, for any cause whatsoever, regardless of how caused, whether in tort or otherwise, resulting from the use or non-use of such software, even if they have been advised of the possibility of such damages. In no event shall it be liable for any indirect, special, incidental, punitive, or consequential damages."
著作権者も供給者も、契約、過失または他の不法行為上の訴訟かを問わず、当該ソフトウェアの使用やその他の扱いによって発生した請求、損害その他のいずれに対しても一切責任を負わないものとする。,"Neither the copyright holder nor the supplier shall be liable for any claim, damage or other cause of action, whether in contract, negligence or other tort, arising out of the use or other treatment of such software."
著作権者も米国も米国エネルギー省もその従業員も、責任の根拠が契約であるか(過失や厳格責任を含む)不法行為であるかを問わず、仮にそのような損失や損害が発生する可能性を知らされていたとしても、どのような理由であれ、間接損害、付随的損害、派生的損害、特別損害、または、懲罰的損害のいずれに対しても(データの喪失、利益の喪失に対する補償も含めるが、それに限定されない補償を含め)一切責任を負わないものとする。,"Neither the copyright owner, nor the United States, nor the U.S. Department of Energy, nor its employees, nor any of its employees, for any reason, whether the basis of liability is in contract (including negligence or strict liability) or tort, even if they have been advised of the possibility of such loss or damage, even if they have been advised of the possibility of such loss or damage, whether indirect, incidental, consequential, special or In no event shall it be liable for any of the following damages (including, but not limited to, compensation for loss of data or loss of profits) or for any punitive damages (including, but not limited to, compensation for loss of data or loss of profits)"
著作権者も著作者も、仮にそのような損害が発生する可能性を知らされていたとしても、当該ソフトウェアや関連文書の使用によって発生した直接損害、間接損害、特別損害、派生的損害のいずれに対しても一切責任を負わないものとする。,"In no event shall the copyright holder or the author be liable for any direct, indirect, special or consequential damages resulting from the use of the software or related documentation, even if they have been advised of the possibility of such damages."
著作権者やその代表の名前を使う場合。,If you use the name of the copyright holder or its representative.
"著作権表示と本ライセンスにおいて、""Contributing Authors""は次の個人をさす。

Dave Raggett <dsr@w3.org>、
Andy Quick <ac.quick@sympatico.ca> (translation to Java)、
Gary L Peskin <garyp@firstech.com> (Java development)、
Sami Lempinen <sami@lempinen.net> (release management)","For purposes of the copyright notice and this license, ""Contributing Authors"" refers to the following individuals: Dave Raggett <dsr@w3.org>, Andy Quick <ac.quick@sympatico.ca> (translation to Java), Gary L Peskin <garyp@firstech.com> (Java development), Sami Lempinen <sami@lempinen.net> (release management)"
"著作権表示の内容はこちら。
""Copyright (c) 2000-2002 Japan Network Information Center. All rights reserved.""","Click here for the copyright notice."" Copyright (c) 2000-2002 Japan Network Information Center. All rights reserved."""
著作権表示の直ぐ後に、改変版を本ライセンスの下で利用することを公衆に対して許諾する告知を含める,Include a notice granting the public permission to use the modified version under this license immediately following the copyright notice.
著作権表示は、ファイルの一番上にそのまま含める。,The copyright notice should be included directly at the top of the file.
著作権表示は、ファイルの一番上にそのまま含める。 ,The copyright notice should be included directly at the top of the file.
著作権表示やライセンスは、テキストファイル、人間が可読可能なヘッダ、もしくは、ユーザが簡単に閲覧できるフィールドである場合、テキストやバイナリファイルに含まれる機械が可読可能なメタデータフィールドに含む。,"Copyright notices and licenses are included in text files, human-readable headers, or machine-readable metadata fields contained in text or binary files if the fields are easily viewable by the user."
著作権表示を明示する,Provide a clear copyright notice.
著作権表示を複製するため、および、当該ソフトウェアの出自を記述するために、合理的で慣習的な使用が必要な場合を除いて、ライセンサの商標、トレードマーク、サービスマーク、名前の使用はできない。,"Licensor's trademarks, trademarks, service marks, and names may not be used to reproduce copyright notices and to describe the origin of such software, except where reasonable and customary use is necessary to do so."
著作物(編集著作物等に組み込まれた著作物を含む)のコピーを頒布する,Distributing a copy of a work (including a work incorporated into a compilation or other work)
著作物(編集著作物等に組み込まれた著作物を含む)の公衆送信(送信可能化を含む)を行う,"Public transmission (including making transmittable) of a work (including a work incorporated into an edited work, etc.)"
著作物(編集著作物等に組み込まれた著作物を含む)を上映する,"Showing a work (including a work incorporated into a compilation of works, etc.)"
著作物(編集著作物等に組み込まれた著作物を含む)を上演する,"Performing a work (including a work incorporated into a compilation of works, etc.)"
著作物(編集著作物等に組み込まれた著作物を含む)を公に口述する,Dictate publicly a work (including a work incorporated into a compilation or other work)
著作物(編集著作物等に組み込まれた著作物を含む)を公に展示する,To publicly display a work (including a work incorporated into a compilation or other work)
著作物(編集著作物等に組み込まれた著作物を含む)を演奏する,"Performing a work (including a work incorporated into a compilation of works, etc.)"
著作物(集合著作物に組み込まれた著作物を含む)のコピーを頒布する,Distribute copies of the work (including works incorporated into a collective work)
著作物(集合著作物に組み込まれた著作物を含む)をデジタルオーディオ伝送して公に実演する,Public performance of a work (including a work incorporated into a collective work) by digital audio transmission
著作物(集合著作物に組み込まれた著作物を含む)を公に伝達する,Communicate publicly a work (including a work incorporated into a collective work)
著作物(集合著作物に組み込まれた著作物を含む)を公に実演する,Publicly perform a work (including a work incorporated into a collective work)
著作物(集合著作物に組み込まれた著作物を含む)を公に展示する,Public display of a work (including a work incorporated into a collective work)
著作物(集合著作物に組み込まれた著作物を含む)を出版する,Publish a work (including a work incorporated into a collective work)
著作物(集合著作物に組み込まれた著作物を含む)を録音した媒体を頒布する,Distributing a medium on which a recording of a work (including a work incorporated into a collective work) is made
著作物が楽曲であり、また営利目的の利用である場合、ライセンサは、(i)著作物を公に伝達、放送、公に実演、または、ウェブキャストのようにデジタル化して公に実演した際のロイヤルティの徴収の権利を留保する。(ii)著作物から作られた録音(いわゆるカバーバージョン)およびその頒布に対するロイヤルティを、米国著作権法の115条(もしくはオーストラリアの著作権法、あるいは他の法域における同等な法定のライセンス)に基づくライセンスに従って徴収する権利を留保する。,"If the work is a musical composition and a commercial use, the Licensor reserves the right to collect royalties on (i) the public transmission, broadcast, or public performance of the work, or the digitization and public performance of the work, such as webcasting. (ii) reserves the right to collect royalties on sound recordings made from the Work (so-called cover versions) and their distribution pursuant to a license under Section 115 of the U.S. Copyright Act (or the Australian Copyright Act, or equivalent statutory license in other jurisdictions)."
著作物が楽曲である場合、ライセンサは、著作物を公に実演、または、ウェブキャストのようにデジタル化して公に実演した際のロイヤルティの徴収の権利を放棄する。また、著作物から作られた録音(いわゆるカバーバージョン)の媒体および頒布に対するロイヤルティを、米国著作権法の115条(もしくは他の法域において同等なもの)に基づくライセンスに従って徴収する権利を放棄する。,"If the work is a musical composition, the licensor waives the right to collect royalties on the public performance of the work, or on the public performance of the work in digital form, as in a webcast. Licensor also waives the right to collect royalties for the media and distribution of sound recordings (so-called cover versions) made from the work pursuant to a license under Section 115 of the Copyright Act (or its equivalent in other jurisdictions)."
著作物が録音であり、また営利目的の利用である場合、ライセンサは、米国著作権法の114条(もしくは他の法域において同等なもの)に基づいたライセンスに従って、著作物をデジタル化して公に実演することに対するロイヤルティを徴収する権利を留保する。,"If the work is a sound recording and is for commercial use, the Licensor reserves the right to collect royalties for digitizing and publicly performing the work pursuant to a license under Section 114 of the U.S. Copyright Act (or its equivalent in other jurisdictions)."
著作物が録音である場合、ライセンサは、米国著作権法の114条(もしくは他の法域において同等なもの)に基づいたライセンスに従って、著作物をデジタル化して公に実演することに対するロイヤルティを徴収する権利を放棄する。,"If the work is a sound recording, the licensor waives the right to collect royalties for digitizing and publicly performing the work pursuant to a license under Section 114 of the U.S. Copyright Act (or its equivalent in other jurisdictions)."
著作物に含まれている変更の概要を含める,Include a summary of the changes included in the work
著作物の受領者にライセンスされた権利を制限する効果的な技術的手段をとらない,Not taking effective technical measures to limit the rights licensed to the recipient of the work
著作物は、「現状のまま(as-is)」で提供されており、明示であるか黙示であるか法定その他であるかを問わず、著作物に関する表明も保証もしない。ここでいう保証とは、権原、商業的な使用可能性、特定の目的に対する適合性、権利非侵害、潜在的なものを含む欠陥、精度、発見可能か否かに関わらないエラーの有無を含むがそれに限らない、準拠法の下で最大限許諾される全てをさす。,"the work is provided ""as-is"" and makes no representations or warranties, express, implied, statutory or otherwise, regarding the work. The warranties are the fullest extent permitted under applicable law, including, but not limited to, the warranties of title, commercial applicability, fitness for a particular purpose, non-infringement, defects, including latent ones, accuracy, and the absence of errors, whether discoverable or not."
著作物は、書面で同意している場合を除いて、「現状のまま(as-is)」で提供されており、明示であるか黙示であるか法定その他であるかを問わず、いかなる表明も保証もしない。ここでいう表明や保証とは、権原、商業的な使用可能性、特定の目的に対する適合性、権利非侵害、潜在的なものを含む欠陥、精度、発見可能か否かに関わらないエラーの有無に関する表明や保証を含むが、それに限定されるものではない。,"the work is provided ""as is (as-is)"" unless otherwise agreed to in writing and without any representations or warranties, whether express, implied, statutory or otherwise. The representations and warranties herein include, but are not limited to, representations and warranties regarding title, commercial availability, fitness for a particular purpose, non-infringement, defects, including latent ones, accuracy, and the existence of errors, whether discoverable or not."
著作物は、書面で同意している場合を除いて、ライセンサによって、「現状のまま(as-is)」で提供されており、明示であるか黙示であるか法定その他であるかを問わず、いかなる保証もない。ここでいう保証とは、事由の如何を問わず、損害発生の原因如何を問わず、権原、商業的な使用可能性、特定の目的に対する適合性、および、非侵害性に関する保証を含むが、それに限定されるものではない。,"the work is provided by licensor ""as-is"" and without warranty of any kind, whether express, implied, statutory or otherwise, unless otherwise agreed to in writing. the warranties herein include, but are not limited to, warranties of title, commercial availability, fitness for a particular purpose, and non-infringement, for any cause whatsoever, regardless of the cause of the damage caused."
著作物は、本ライセンスで明示的に述べている場合を除いて、または書面で同意している場合を除いて、準拠法で許諾される範囲において、ライセンサによって、「現状のまま(as-is)」で提供されており、明示であるか黙示であるか法定その他であるかを問わず、いかなる表明も保証も条件もない。ここでいう表明や保証や条件とは、著作物の内容や正確性、権原、商業的な使用可能性、特定の目的に対する適合性、非侵害性、潜在的か否かによらず欠陥が無いこと、エラーの有無に関する表明や保証や条件を含むが、それに限定されるものではない。,"Except as expressly stated in this license or agreed to in writing, the Works are provided by Licensor ""as-is"" to the extent permitted by applicable law, and no representations, express, implied, statutory or otherwise, are There are no warranties or conditions. The representations, warranties and conditions herein include, but are not limited to, representations, warranties and conditions as to the content and accuracy of the work, title, commercial usability, fitness for a particular purpose, non-infringement, absence of defects, potential or otherwise, and the existence of errors."
著作物は、本ライセンスやその他の書面での同意または適用される法律によって命じられない限り、ライセンサによって、「現状のまま(as-is)」で提供されており、明示であるか黙示であるかを問わず、いかなる保証もない。ここでいう保証とは、著作物の内容や精度に関する保証を含むが、それに限定されるものではない。,"the work is provided by licensor ""as-is"" and without warranty of any kind, either express or implied, unless otherwise ordered by this license or other written consent or applicable law. The warranties herein include, but are not limited to, warranties regarding the content and accuracy of the work."
著作物は公有に属するものとする。,The work shall be in the public domain.
著作物をサブライセンスしない,No sublicensing of copyrighted material.
著作物を伝送する,Transmit the work.
著作物を使用する,Use of copyrighted material
著作物を公有に属するものと認証する場合、その著作物が公有に属するものとして扱えるかどうか著作権の状況を確認する合理的な手段を取る。,"When certifying a work as belonging to the public domain, take reasonable steps to verify the copyright status of the work to see if it can be treated as belonging to the public domain."
著作物を共有する,Share your work
著作物を取り扱う際は著作権の状況を確認する。,Check the copyright status when handling copyrighted material.
著作物を実演する,Demonstrate the work
著作物を展示する,Display your works
著作物を改変する,Modify the work.
著作物を活用する,Making use of copyrighted material
著作物を翻訳する,Translating a work
著作物を複製する,Reproduce the work.
著作物を頒布する,Distribute the work
著作者およびApple Inc.は、Kerberosサポートコードの使用によって発生した損害のいずれに対しても一切責任を負わないものとする。,Neither the author nor Apple Inc. shall be liable for any damages arising from the use of the Kerberos Support Code.
著作者および著作権者に対するクレジットは文書およびソースに表示する,Credit to the author and copyright holder appears in the documentation and in the source
著作者および著作権者に対するクレジットは文書およびソースに表示する ,Credit to the author and copyright holder appears in the documentation and in the source
著作者が発行したソフトウェアについて論じている記事を頒布する,Distribute articles discussing software published by the author
著作者とディストリビュータは、いかなる保証もしない。ここでいう保証とは、商業的な使用可能性、特定の目的に対する適合性、権利非侵害に関する暗黙の保証を含むが、それに限定されるものではない。当該ソフトウェアは「現状のまま(as-is)」で提供されており、著作者とディストリビュータは、メンテナンス、サポート、アップデート、エンハンス、改変のいずれも提供する義務はない。,"the author and distributor make no warranties whatsoever. The warranties include, but are not limited to, the implied warranties of commercial applicability, fitness for a particular purpose, and non-infringement. the software is provided ""as-is"" and neither the author nor the distributor is obligated to provide maintenance, support, updates, enhancements, or modifications."
著作者とディストリビュータは、仮にそのような損害が発生する可能性を知らされていたとしても、当該ソフトウェア、ソフトウェアに関係する文書、および、派生物の使用によって発生した直接損害、間接損害、特別損害、付随的損害、派生的損害のいずれに対しても、一切責任を負わないものとする。,"In no event shall the author and distributor be liable for any direct, indirect, special, incidental, or consequential damages resulting from the use of the software, its documentation, and derivative works, even if they have been advised of the possibility of such damages. There shall be no"
著作者と別の頒布方法を決める,Decide on a different method of distribution with the author
著作者のクレジットを含める,Include credit to the author.
著作者のバグ以外は著作者が原因ではないことを明示する,Explicitly state that the author is not responsible for anything other than the author's bugs.
著作者の同一性保持権のような人格権は本ライセンスの下ではライセンスされないものとする。パブリシティ権、プライバシー権などといった人格権も同様の扱いとする。ライセンサは、本ライセンスの下で権利を行使する者が権利を行使するために必要な範囲に限り、ライセンサがもつ権利を放棄する、あるいは、行使しないことに同意するものとする。,"Moral rights, such as the author's right to identity, shall not be licensed under this license. Moral rights, such as publicity and privacy rights, shall be treated in the same manner. Licensor agrees to waive, or not to exercise, any rights it may have only to the extent necessary for any person to exercise his or her rights under this license."
著作者の名前や商標を使う,Use the author's name or trademark.
著作者の許可を取る。,Author's permission.
著作者は、(擬似コードやCコードを含む)文書に関するいかなる保証もしない。,The author makes no warranties whatsoever with respect to the documents (including pseudocode and C-code).
著作者は、(擬似コードやCコードを含む)文書の使用によって生じた損害に対して一切責任を負わない。,The author is not liable for any damage caused by the use of the document (including pseudo-code and C-code).
著作者は、この仕様書の使用、あるいは、この仕様書の内容の履行や実装によって発生した直接損害、間接損害、特別損害、付随的損害、派生的損害のいずれに対しても一切責任を負わないものとする。,"In no event shall the author be liable for any direct, indirect, special, incidental or consequential damages resulting from the use of this specification or the performance or implementation of the contents of this specification."
